lang	avg_len	shannon	test_shannon	test_loss	test_acc	best_epoch	val_loss	val_acc
三明	6.066666666666666	5.015452441063791	4.990004079228393	3.8849721272786457	0.1369177381197611	37.0	4.918045711517334	0.1414973636468251
云霄	7.168067226890756	4.610709282850356	4.643761490221889	3.620862047211463	0.1027268048594979	38.0	4.948175658698843	0.1032346077576404
仙游城关	6.791666666666666	4.716425768040162	4.703383041146574	3.605532964070638	0.1283399701118469	42.0	4.916118902318618	0.1371903555984256
光泽	7.016666666666668	4.7202803712029135	4.691014481386392	3.6125	0.1079917644460996	36.0	5.0284219741821286	0.1054059570034345
华安	6.833333333333334	4.675248718099669	4.764983022690251	3.799816258748373	0.1294803783297538	47.0	4.8826275825500485	0.121807790795962
南安	6.800000000000001	4.712429208410812	4.767043298736307	3.7978223164876304	0.1101033593217531	35.0	5.0188037872314455	0.099420099457105
南平	6.991666666666667	4.399813790960889	4.351589719034229	3.4751481374104816	0.1085170462727546	30.0	4.920058790842692	0.1013377716143926
厦门	6.567796610169491	4.63342944253895	4.626447751560777	3.786136303917836	0.1084930219892728	28.0	5.066331322987875	0.1098523731033007
厦门市同安区	6.408333333333333	4.851082853625687	4.865426210253059	3.892101160685221	0.1372940808534622	32.0	5.436533069610595	0.1483353187640508
厦门市思明区	6.5593220338983045	4.61382906083474	4.634046345099286	3.795081445726298	0.1165236984774217	25.0	5.132305685679118	0.1085594271620114
古田	7.5423728813559325	4.690073367073671	4.667059254134311	3.506671970173464	0.1103561933515435	41.0	4.850602436065674	0.119425094127655
同安	6.61344537815126	4.779235331030414	4.831294858501125	3.789316513959099	0.1313310293089442	33.0	5.053331343332927	0.1355855534474055
周宁	6.841666666666667	4.71825261252747	4.669491313353947	3.723040898640951	0.1022324353456497	31.0	5.189665381113688	0.1246605445941289
大田城关	6.558333333333334	4.6680336910943305	4.641927055403795	3.608594512939453	0.1113303869962692	32.0	4.95222665081505	0.101861927188745
大田广平	6.1083333333333325	4.9187686807551945	4.959890796233125	3.839534759521485	0.1342036525408426	24.0	4.974700843586641	0.1347620422098817
安溪	6.672268907563025	4.7445015238475845	4.836402706551963	3.810097317735688	0.1257701580639647	33.0	5.019700463612875	0.1285474230845769
寿宁	6.957627118644068	4.598726612633175	4.553557452366053	3.500426340911348	0.1067283697805162	32.0	4.889250596364339	0.1115493228038152
将乐	6.605042016806722	4.7863150802476655	4.752966148716615	3.671431597541361	0.1317298342199886	39.0	4.977916749318441	0.1310813307762146
平和	6.908333333333333	4.668925901915988	4.7192298191575786	3.720554606119792	0.1109106848637263	37.0	4.999754810333252	0.1236799856026967
平潭	6.899159663865547	4.643148998336279	4.526676926040752	3.5594218278131566	0.115718845810209	29.0	4.988939921061198	0.1148014778892199
建宁	7.22689075630252	4.613095411230349	4.600809696960551	3.599893008961397	0.1090066824890986	34.0	4.924016074973996	0.1053550177011169
建瓯	7.083333333333334	4.453180134292718	4.38652740037718	3.497946294148763	0.1011149222652117	34.0	4.861762523651123	0.1079930340250333
德化	6.525423728813559	4.646151676233272	4.72014958628783	3.856628030033435	0.1123575087068444	23.0	5.081432755788168	0.1117737238605817
惠安	6.529411764705882	4.748781149708977	4.782845488197235	3.8343285312171744	0.1082941189157862	31.0	5.050999895731608	0.100488169491291
政和	6.7333333333333325	4.513926666651333	4.492826905077677	3.525348663330078	0.1002612814307212	31.0	4.829358164469401	0.1006287256876627
明溪	6.683333333333334	4.671102816742141	4.590818664225183	3.5779837290445964	0.1288766880830129	26.0	4.9378895078386575	0.135657288948027
晋江	6.85	4.667589696302987	4.703020814329019	3.7760560353597006	0.1105251679817835	38.0	4.923900318145752	0.1149654413263003
松溪	6.966666666666667	4.621585288155887	4.57584205487374	3.491069030761719	0.1075396041075388	35.0	4.732156689961752	0.1095115110278129
枫亭	6.84873949579832	4.578133281890676	4.565673036401679	3.5792108103006828	0.1102514548712417	39.0	4.845440642038981	0.1135661924878756
柘荣	7.2666666666666675	4.602020886529471	4.59250063337353	3.4789326985677085	0.1116165394584337	27.0	4.845473066965739	0.1247739593187968
武夷山	7.366666666666667	4.471387707123742	4.4481946392296825	3.393728764851888	0.1186858857671419	38.0	4.76800905863444	0.1148074726263682
永安	6.241666666666667	4.865358013851409	4.821945309756255	3.720111211140951	0.1327040433883667	34.0	4.859978357950847	0.1439603010813395
永春	6.285714285714287	4.695691344930837	4.743359044938637	3.872302143513656	0.1129834474760945	24.0	5.062040774027507	0.1195358097553253
永泰	7.53781512605042	4.5643410615722	4.500879041110567	3.383367458311449	0.1254842946258913	38.0	4.807043107617803	0.1258112814496545
沙县	6.550000000000001	4.865977187030464	4.886846932978149	3.6754938761393223	0.1432229489088058	40.0	4.85829148573034	0.1475980741386654
泰宁	7.1	4.650666767966411	4.630477258355718	3.607078679402669	0.116280198097229	30.0	5.026972446121087	0.1021098992278596
浦城	7.25	4.751185541064969	4.715679503564497	3.498124440511068	0.1119601339101791	33.0	4.82368377049764	0.1108774875601132
漳州	7.15	4.742553784346574	4.781499402429998	3.743557739257812	0.1227119465668996	43.0	4.835320981343587	0.1304144660631815
漳平	7.125	4.605712915155386	4.6194307758228295	3.639659118652344	0.1159244433045387	34.0	4.926080913866981	0.1092605521365747
漳浦	7.1	4.72677845987091	4.818461544356788	3.757182820638021	0.1310712486505508	38.0	4.905498441060384	0.1263093844056129
石狮	6.85	4.540563683417161	4.551562131357178	3.665125147501628	0.1039534752567609	36.0	4.869799868265788	0.1124525020519892
福安	7.058333333333334	4.682628657457162	4.596669596546331	3.5356842041015626	0.1206824868917465	33.0	4.879153823852539	0.131720878680547
福清	7.279661016949152	4.590335275321129	4.499725397763462	3.62583716441009	0.0874768631943201	35.0	4.987467606862386	0.1026522725820541
福鼎	6.830508474576272	4.6386840199141295	4.687718549773679	3.6833918943243513	0.103927904140141	27.0	4.851829232288008	0.1111381316886228
罗源	6.966101694915254	4.7364719462416645	4.68592676929458	3.530555854409428	0.1343871617721299	28.0	4.968481368377429	0.135300222565146
罗源畲话	6.966386554621849	4.646982981699058	4.5784433152586095	3.5096736875902703	0.1237280177218573	31.0	4.836739660311146	0.1318541507260138
芗城区	7.175000000000001	4.735179822601543	4.774712027068253	3.7036604563395183	0.1278019249439239	39.0	4.907315444946289	0.1269210249185562
莆田	6.806722689075631	4.500371712189947	4.465379694637275	3.488352158490349	0.1236294012735871	38.0	4.833738040924072	0.1133849491675694
莆田城厢	6.805084745762711	4.605392480808701	4.585603843284409	3.549869731321173	0.1281473495192447	34.0	4.842379315694173	0.1380875249703725
蕉城	6.551724137931034	4.725844619877668	4.661232314015698	3.5788408476730877	0.1167257751884131	33.0	5.05840539130844	0.129284223463355
诏安	6.806722689075631	4.745350693145171	4.801193495206983	3.781814190519958	0.1040400454477101	25.0	5.087576461439373	0.1048939075915753
连江	7.23728813559322	4.597308582424309	4.552232879868509	3.464214777542373	0.122658157247608	29.0	4.93372845850071	0.1392331512785759
邵武	7.133333333333333	4.588569958236385	4.585148965000611	3.5432106018066407	0.1187915126482645	35.0	5.01858336130778	0.1178003708521525
长乐	7.441666666666666	4.490192602909039	4.430714715581089	3.4184988657633464	0.1075438807408015	43.0	4.8358661015828455	0.1159920086463292
长泰	7.083333333333334	4.701101753978975	4.729299227237958	3.7217554728190105	0.1123801340659459	41.0	4.8894121487935385	0.1076599493622779
闽侯	7.576271186440678	4.538774673020926	4.487105282317393	3.4596282183113747	0.1064764396366426	28.0	4.931814034779866	0.1215532968441645
霞浦	6.6890756302521	4.664299193987381	4.727156397453388	3.7644471240644695	0.1114689401593529	29.0	4.918864790598551	0.1150643164912859
霞浦城关	6.940677966101696	4.654623939073074	4.6229172365744775	3.524373458603681	0.1157059934684785	31.0	4.868985271453857	0.1209620480736096
顺昌	6.308333333333334	4.809837617969395	4.768077201358339	3.820121510823568	0.1289060294628143	29.0	5.242065217314648	0.1426336380864391
鲤城	6.6386554621848735	4.628306049573102	4.674983204949711	3.80454581124442	0.1045911128656203	27.0	5.118787288665772	0.1008005782961845
鼓楼	7.333333333333334	4.488083623774843	4.415454474859136	3.409056854248047	0.1172929286956787	40.0	4.865169175465902	0.1104486127694447
龙岩新罗	7.296610169491526	4.711815526297558	4.727692134532496	3.713306491657839	0.107722166104842	39.0	4.845723406473796	0.1199466948707898
龙海	7.07563025210084	4.720098845422261	4.756724933288463	3.714289817489496	0.1241814431523074	37.0	4.949749660491944	0.1275925457477569
