"","lang","avg_len","lstm","longitude","latitude"
"57","Blokzijl Ov",4.3677130044843,2.91892405918666,5.96397,52.7304
"58","Boekel NB",4.63097949886105,3.0265440259661,5.68236,51.613
"60","Bolsward Fr - Boalsert Fr",4.82394366197183,2.85871322066696,5.52459,53.0685
"63","Borculo Gl",4.53968253968254,3.12977412709019,6.52827,52.1218
"65","Borkel NB",4.55955056179775,2.93496730871368,5.43273,51.303
"66","Borne Ov",4.18483412322275,3.30167316940596,6.76446,52.3093
"69","Boven-Hardinxveld ZH",4.90160183066362,2.81158504845961,4.8935,51.8302
"70","Boxtel NB",4.73883928571429,3.08446864077919,5.33695,51.5903
"71","Breda NB",5.06487695749441,2.72075694691051,4.7835,51.5919
"72","Bredevoort Gl",4.8649885583524,2.92897810015762,6.61716,51.9479
"74","Breskens Ze",4.375,3.13992118835449,3.55034,51.3954
"75","Brielle ZH",4.81756756756757,2.90813860976905,4.14577,51.9091
"77","Brouwershaven Ze",4.96363636363636,3.07740435683936,3.90585,51.7262
"79","Brummen Gl",4.67205542725173,2.98852482548466,6.15605,52.0899
"80","Brunssum Lb",4.49530516431925,3.031402860369,5.97961,50.9509
"81","Budel NB",4.56235827664399,3.07609638414885,5.58874,51.2754
"84","Buren Fr - Bueren Fr",4.84064665127021,2.92702710186994,5.79565,53.4507
"85","Burum Fr - Boerum Fr",4.90866510538642,2.97650118227358,6.23427,53.2752
"86","Buurmalsen Gl",4.61936936936937,3.11159242902483,5.2948,51.8938
"87","Callantsoog NH",4.81136363636364,2.97882135564631,4.69282,52.8357
"88","Coevorden Dr",4.45291479820628,3.06737799393503,6.74383,52.6658
"89","Culemborg Gl",4.71256038647343,2.91731966458834,5.22807,51.9583
"90","Dalfsen Ov",4.46803652968037,3.0279906136649,6.26757,52.5104
"91","De Lier ZH",4.99308755760369,2.79264803799716,4.24643,51.974
"92","De Lutte Ov",4.26520681265207,3.21791076660156,6.99565,52.3183
"93","De Rijp NH",4.95918367346939,2.9300479888916,4.8496,52.5561
"94","Dedemsvaart Ov",4.48868778280543,2.97738020760672,6.46139,52.6035
"96","Deil Gl",4.81006864988558,3.01158741542271,5.26659,51.8938
"97","Delden Ov",4.20232558139535,3.2309892134233,6.72109,52.2709
"98","Delft ZH hoog",4.99552572706935,2.90607037460595,4.34876,52.0012
"99","Delft ZH laag",5.01336302895323,3.27016435589707,4.34876,52.0012
"100","Den Dungen NB",4.65675057208238,3.05984925387198,5.38748,51.6673
"101","Den Ham Ov",4.45852534562212,3.31052483452691,6.50141,52.4654
"102","Den Hoorn NH",4.74831460674157,2.91816202799479,4.74352,53.0273
"103","Den Oever NH",4.87096774193548,2.84858158656529,5.02959,52.9325
"107","Deurne NB",4.64485981308411,3.05632019042969,5.79471,51.47
"108","Deventer Ov",5.10180995475113,2.90084021432059,6.17015,52.259
"109","Didam Gl",4.51910112359551,2.93087387084961,6.13432,51.9398
"110","Diemen NH",5.34151785714286,2.6645218698602,4.96912,52.3531
"112","Diepenveen Ov",4.50454545454545,2.99186304995888,6.15658,52.2965
"113","Dieren Gl",5.07175925925926,2.69274259868421,6.10984,52.0481
"115","Dodewaard Gl",4.59122401847575,2.80661010742188,5.66767,51.9088
"117","Doesburg Gl",5.00669642857143,2.92572530110677,6.13917,52.0186
"118","Doetinchem Gl",5.07061503416856,2.71514892578125,6.28471,51.9708
"119","Dokkum Fr",4.652,3.1156815921559,5.99337,53.3334
"120","Dongen NB",4.6530612244898,2.98319734845843,4.94976,51.6313
"121","Doornspijk Gl",4.40801886792453,2.83633477347238,5.81671,52.4222
"122","Driebruggen ZH",5.41163310961969,2.71230915614537,4.8168,52.0474
"123","Druten Gl",4.71052631578947,2.85174887520926,5.62074,51.8964
"124","Dwingeloo Dr",4.73853211009174,2.93686412464489,6.36946,52.8421
"125","Echt Lb",4.56264775413712,3.22090120135613,5.87524,51.1138
"126","Echten Fr - Ychten Fr",4.82598039215686,2.93656984965006,5.79904,52.8787
"127","Edam NH",5.05357142857143,2.69356754847935,5.06209,52.516
"128","Ede Gl",4.60992907801418,3.09286499023438,5.67966,52.0474
"129","Eede Ze",4.52045454545455,2.90780586108827,3.45258,51.2445
"131","Eelde Dr",4.50452488687783,3.01467440421121,6.57071,53.1465
"132","Eenrum Gn",4.60635696821516,3.12119854621167,6.4544,53.3688
"133","Eexterveen Dr",4.60859728506787,2.89924567086356,6.80361,53.0568
"134","Egmond aan Zee NH",4.62556053811659,2.96473533228824,4.61998,52.6171
"135","Egmond-Binnen NH",4.88116591928251,2.90976701702988,4.65209,52.5955
"136","Eibergen Gl",4.64852607709751,3.13157490321568,6.65948,52.1064
"137","Eijsden Lb",4.56177156177156,3.11818504333496,5.71089,50.77
"138","Eindhoven NB",4.72706935123043,2.96876311720463,5.49073,51.4454
"139","Elburg Gl",4.63235294117647,2.96757389948918,5.83746,52.4583
"140","Enkhuizen NH",5.13452914798206,2.75947679792132,5.29002,52.7056
"141","Epen Lb",4.34474327628362,3.09469690862692,5.92283,50.7776
