lang,concept_id,phoneme_id,phoneme,phoneme_len,phoneme_loss
三明,704,705,kʰ ɒ 25 t ɛ̃ 33,7,4.558360576629639
三明,712,713,h ŋ 31 p ɛ̃ i 44 t͡s a 31,11,3.44380259513855
三明,713,714,p u ã 31,5,4.146644592285156
三明,723,724,tʰ ã 43 ʃ y 44,7,3.942842721939087
三明,744,745,t͡ʃ o 12 ʔ i ɯ 44,8,4.1884918212890625
三明,745,746,m ɒ 31 ʃ a 44,7,4.026590824127197
三明,759,760,kʰ y 44,4,4.295858383178711
三明,760,761,k ɯ 21 k ɒ 44,7,5.919519901275635
三明,764,765,pʰ i 33,4,3.381683826446533
三明,769,770,p ɒ 213,4,3.583711862564087
三明,780,781,m ɔ̃ 43 ʔ a 12 t͡ʃʰ i 51,10,5.772106170654297
三明,789,790,n ɛ̃ 254,4,4.667584419250488
三明,805,806,t͡ʃʰ y ɛ̃ i 44,6,3.6919116973876953
三明,828,829,tʰ ã 44,4,3.9000253677368164
三明,855,856,l a 213,4,4.559534072875977
三明,876,877,h ŋ 31 m ã 51,7,3.6024136543273926
三明,882,883,s i ɐ m 31,6,3.5032012462615967
三明,891,892,tʰ a ɯ 12 ʔ i ɛ̃ i 33,10,3.744532346725464
三明,892,893,tʰ i ɐ m 33,6,3.704012632369995
三明,937,938,h ã 31 ʃ ã 51,7,3.721977949142456
三明,952,953,kʰ o 213,4,3.970524311065674
三明,1013,1014,m ɛ̃ 33,4,3.5478391647338867
三明,1021,1022,l a ɯ 31,5,3.1337530612945557
三明,1029,1030,ʔ i ɑ u 12 t͡s ɛ̃ i 51,10,3.324244737625122
三明,1053,1054,t e 44,4,4.236268043518066
三明,1056,1057,t͡sʰ a ɯ 213,5,3.552738904953003
三明,1061,1062,ʔ ɯ 213,4,5.224912643432617
三明,1082,1083,k ɒ 31 p ɒ 213,7,3.5029118061065674
三明,1083,1084,k ɒ 31 t͡sʰ ɛ̃ i 44,8,3.5978658199310303
三明,1087,1088,t i 31 ʔ i 213,7,4.246026515960693
三明,1096,1097,tʰ œ 51,4,2.8329386711120605
三明,1100,1101,t͡ʃ ɒ 213,4,3.30076265335083
三明,1101,1102,t ɒ 51,4,3.716938018798828
三明,1115,1116,t ã 33,4,3.282475233078003
三明,1118,1119,t ɒ 51,4,3.716938018798828
三明,1125,1126,t ã 33,4,3.282475233078003
三明,1127,1128,kʰ u e i 33,6,2.8154354095458984
三明,1142,1143,ʔ ɔ̃ 44 t͡s e 0,7,3.169006109237671
三明,1148,1149,ŋ u 31 p ɒ 0,7,4.148865699768066
三明,1152,1153,ŋ u o 31 t͡ʃ ɒ 213,8,3.8079304695129395
三明,1159,1160,ŋ u o 12 ʔ i ɐ m 0,10,4.221643924713135
三明,1165,1166,h ɛ̃ i 254 kʰ i 31,8,3.775751829147339
三明,1167,1168,k i a 12 s i 44,8,4.921022891998291
三明,1189,1190,m u e i 51,6,2.988217353820801
云霄,5,1205,h o ŋ 33 tʰ a i 55,9,3.5396997928619385
云霄,23,1223,s ŋ 55,4,4.0458807945251465
云霄,34,1234,t u a 21 ʔ u ã 21 tʰ ĩ 55,12,3.9080238342285156
云霄,36,1236,tʰ ĩ 55 k u ĩ 55,8,4.0637407302856445
云霄,43,1243,k a ŋ 55,5,3.227649211883545
云霄,69,1269,h u n 55,5,3.028311014175415
云霄,78,1278,t͡s i t 5 t͡s u n 33,9,3.732792377471924
云霄,81,1281,t͡s i t 21 s i 53 l a ŋ 32,12,3.5131149291992188
云霄,83,1283,m ĩ 33 n ĩ 32,7,3.6003193855285645
云霄,86,1286,t͡s u t 21 n ĩ 32,8,3.9124722480773926
云霄,94,1294,t͡s a 21 h u ĩ 55,8,3.6514267921447754
云霄,105,1305,m ĩ 33 h u ĩ 55,8,3.5033726692199707
