lang,concept_id,phoneme_id,phoneme,phoneme_len,phoneme_loss
三明,5,5,h ã 31 tʰ a 44,7,2.7600185871124268
三明,23,23,s ɐ m 31 p ɛ̃ 44,8,2.513526439666748
三明,34,34,h ŋ 254,4,3.207148551940918
三明,36,36,tʰ ɛ̃ i 31 k ɐ m 44,9,2.0426368713378906
三明,43,43,t o 43 kʰ e 44,7,3.583686590194702
三明,69,69,ʔ i ɛ̃ i 44,6,2.5167088508605957
三明,78,78,k ɛ̃ 44 h ɛ̃ 31,7,3.0959131717681885
三明,81,81,k ɒ 43 ʃ e 43 n ã 51,10,3.7983813285827637
三明,83,83,m õ 51 ŋ i ɛ̃ i 0,9,4.258068561553955
三明,86,86,t͡sʰ ɛ̃ i 51 ŋ i ɛ̃ i 0,10,2.4847476482391357
三明,94,94,t͡sʰ ɔ̃ 31 m ɔ̃ 51,7,3.3126866817474365
三明,105,105,m ɔ̃ 31 h ŋ 44,7,3.265761137008667
三明,107,107,t͡ʃ ɔ̃ 44 ŋ y ɛ 0,8,2.7125022411346436
三明,108,108,t͡ʃ ɔ̃ 31 ŋ y ɛ 0 t͡sʰ ɑ u 44 ʔ i 213,15,3.2819600105285645
三明,116,116,s ɔ̃ 31 ŋ i ɛ̃ i 44 m ɔ̃ 51,12,2.8672657012939453
三明,121,121,t ã 33 ʃ ɑ u 31,8,2.678940773010254
三明,129,129,t͡ʃ ɔ̃ 33 tʰ e 33,7,3.6879048347473145
三明,155,155,s ɔ̃ 44 t͡ʃʰ y 33,7,2.6024279594421387
三明,166,166,t ɛ̃ 51,4,3.202950954437256
三明,172,172,ʃ a 31 t͡s a 31,7,2.214109182357788
三明,176,176,kʰ i 254,4,3.2354278564453125
三明,212,212,t͡sʰ ã 44,4,2.6691012382507324
三明,214,214,k i ɐ m 44,6,2.14571213722229
三明,224,224,m ɒ 12 t͡s i 51,7,3.1330409049987793
三明,225,225,h ŋ 31 ʃ y 51,7,2.6769657135009766
三明,226,226,m ɒ 12 l ɛ̃ 31 ʃ y 51,10,3.2040984630584717
三明,228,228,ʃ y 31 t͡s a 31,7,2.4422926902770996
三明,231,231,k œ 51,4,3.00192928314209
三明,261,261,t͡s i 213,4,3.1538538932800293
三明,263,263,ʃ ɛ̃ 51,4,3.3628458976745605
三明,267,267,ʔ e 31 kʰ e 213 p a ɯ 51,11,3.4844770431518555
三明,269,269,l y 51,4,3.4948010444641113
三明,279,280,kʰ y i 12 t͡s a 31,8,1.8211264610290527
三明,297,298,ŋ i o 51,5,2.3648619651794434
三明,301,302,k y ã 44,5,2.6580240726470947
三明,318,319,ʔ ɔ̃ 31 t͡s a 31,7,1.9574402570724487
三明,321,322,h u 31 t ɛ̃ i 254,8,2.6203579902648926
三明,333,334,pʰ u ɛ 254 s ã 44,8,3.3798952102661133
三明,337,338,m ã 12 t i ɐ m 33,9,2.836566925048828
三明,344,345,p u e i 31 tʰ ã 31,9,2.9689700603485107
三明,353,354,k ɔ̃ 31 ʃ e 51,7,3.1226649284362793
三明,371,372,ʔ i 44 ʃ ɐ m 43 kʰ u 33,11,3.308011770248413
三明,382,383,t u ɛ 12 kʰ u 33,8,3.146951675415039
三明,387,388,ŋ y i 31 k u ã 44,9,2.4317426681518555
