lang,concept_id,phoneme_id,phoneme,phoneme_len,phoneme_loss
Aalsmeer NH,5,5,b æ r d ə,6,2.8721017837524414
Aalsmeer NH,23,23,d a k ə,5,2.305239200592041
Aalsmeer NH,29,29,d i ʋ ə,5,2.956913948059082
Aalsmeer NH,34,34,d ʌ ɥ w ə,6,2.6371309757232666
Aalsmeer NH,36,36,ʔ e u w ə,6,3.0070390701293945
Aalsmeer NH,43,43,χ a l,4,3.7055106163024902
Aalsmeer NH,59,59,ɦ e i m ə l,7,2.6183266639709473
Aalsmeer NH,72,72,k a l ə ʋ ə,7,2.9427855014801025
Aalsmeer NH,74,74,k a m ə r s,7,2.4049198627471924
Aalsmeer NH,76,76,k a r ə,5,2.1613364219665527
Aalsmeer NH,77,77,k a s t ə,6,2.1667404174804688
Aalsmeer NH,81,81,k ɛ r ə ʋ ə l,8,3.7738120555877686
Aalsmeer NH,83,83,k l a ʋ ə r,7,3.2052693367004395
Aalsmeer NH,91,91,k o r,4,3.925302028656006
Aalsmeer NH,105,105,m a n d ə,6,2.150770664215088
Aalsmeer NH,107,107,m a z ə l ə,7,2.5070691108703613
Aalsmeer NH,108,108,m a i,4,3.636766195297241
Aalsmeer NH,118,118,n æ l d ə,6,4.168601036071777
Aalsmeer NH,124,124,p a j ə,5,2.6902050971984863
Aalsmeer NH,129,129,p e i p ə r,7,2.899388551712036
Aalsmeer NH,143,143,r o u k,5,3.338710308074951
Aalsmeer NH,155,155,s m ɪ t s,6,4.478901386260986
Aalsmeer NH,166,166,s ʌ ɥ k ə r,7,3.406050443649292
Aalsmeer NH,208,208,z i k t ə s,7,3.959604024887085
Aalsmeer NH,226,226,d r o u x,6,3.074025869369507
Aalsmeer NH,231,231,ʔ a i ɣ ə,6,2.3007900714874268
Aalsmeer NH,235,235,f l e r s,6,3.2597408294677734
Aalsmeer NH,261,261,k w e i t,6,3.1144495010375977
Aalsmeer NH,263,263,l ɒ t,4,3.3691558837890625
Aalsmeer NH,267,267,l e i x,5,2.94815993309021
Aalsmeer NH,278,278,p r o u p ə r,8,2.898700714111328
Aalsmeer NH,285,285,s x i f,5,3.5041918754577637
Aalsmeer NH,287,287,s x a r ə p,7,2.790989398956299
Aalsmeer NH,294,294,s t a i f,6,2.7939722537994385
Aalsmeer NH,309,309,f r a i,5,2.5562148094177246
Aalsmeer NH,315,315,z a x t,5,2.46799373626709
Aalsmeer NH,337,337,b r a j ə,6,2.0475826263427734
Aalsmeer NH,344,344,d i n ə,5,2.4847280979156494
Aalsmeer NH,353,353,d o r ə ʋ ə,7,3.0252063274383545
Aalsmeer NH,357,357,x a p ə,5,3.375485897064209
Aalsmeer NH,369,369,ɦ a u w ə,6,2.117241621017456
Aalsmeer NH,371,371,j o k ə,5,3.7809720039367676
Aalsmeer NH,374,374,k ø r ə,5,2.6779284477233887
Aalsmeer NH,382,382,k r a k ə,6,2.28401255607605
Aalsmeer NH,387,387,l e i t ə,6,2.016221284866333
