lang,avg_len,shannon,test_shannon,test_loss,test_acc,best_epoch,val_loss,val_acc
Aalsmeer NH,4.964912280701754,4.537791789913291,4.379103839109816,2.910362912897478,0.41470590233802795,21,3.1077849864959717,0.3523809611797333
Aalten Gl,4.803571428571429,4.622507326044348,4.624438244147403,3.533395222255162,0.3076923191547394,22,3.311436176300049,0.2996845543384552
Aardenburg Ze,4.631578947368421,4.590281021697481,4.512286153162852,3.2778826261821545,0.30841121077537537,17,3.2150161266326904,0.28947368264198303
Aarlanderveen ZH,5.0701754385964914,4.425694700277258,4.292122061649776,2.8445852179276314,0.3843930661678314,21,2.886852979660034,0.37223976850509644
Abbekerk NH,4.872727272727273,4.650577498200283,4.615866868838116,3.3547698974609377,0.39318883419036865,19,3.2542340755462646,0.34201952815055847
Achterberg Ut,4.785714285714286,4.522580044218846,4.429128100871256,3.198990958077567,0.39814814925193787,23,3.071176290512085,0.35483869910240173
Aduard Gn,4.425925925925926,4.8055447591225295,4.751071246520262,3.4916209468135126,0.341296911239624,18,3.504361391067505,0.30434784293174744
Afferden Lb,4.785714285714286,4.60435585950427,4.490965106776289,3.495760236467634,0.32098764181137085,16,3.306246042251587,0.3425605595111847
Almen Gl,4.75,4.558562305061307,4.47886749823484,3.394106183733259,0.30124223232269287,19,3.342336893081665,0.2708333432674408
Almkerk NB,4.709090909090909,4.5507089238218095,4.475778990208736,3.318280584161932,0.35350319743156433,17,3.392986536026001,0.3097642958164215
Alphen NB,4.807017543859649,4.566305917318782,4.456610130444923,3.2295307360197367,0.3867069482803345,22,3.208235502243042,0.35947713255882263
Ameide ZH,4.857142857142857,4.512061772543201,4.478085002521958,3.2339466639927457,0.353658527135849,21,3.2649917602539062,0.3343949019908905
Amersfoort Ut,5.315789473684211,4.5840424739915,4.453484991824652,2.9995015462239585,0.4194444417953491,19,3.1480278968811035,0.35670730471611023
Angerlo Gl,4.944444444444445,4.6518959714960895,4.587694875107571,3.3041407267252603,0.3831775486469269,16,3.255038261413574,0.3536977469921112
Anloo Dr,4.607142857142857,4.703616231418477,4.620775355250422,3.243882860456194,0.3503184914588928,16,3.4057066440582275,0.28135591745376587
Apeldoorn Gl,4.754385964912281,4.710591046270708,4.720688728391568,3.512208102042215,0.2926829159259796,19,3.450584888458252,0.2939189374446869
Appingedam Gn,4.517857142857143,4.796191235234799,4.660534626536955,3.26074709211077,0.3689320385456085,19,3.470538377761841,0.3378378450870514
Arnemuiden Ze,5.017543859649122,4.525807534564233,4.387388582320026,3.124831350226151,0.37026241421699524,22,3.1821460723876953,0.3665594756603241
Austerlitz Ut,5.385964912280702,4.501726648485783,4.396882148704029,2.9483208907277962,0.4395604431629181,17,2.827221393585205,0.4129793643951416
Axel Ze,4.56140350877193,4.701821209191729,4.539173381611047,3.5235188802083335,0.32176655530929565,15,3.400541067123413,0.3206896483898163
Baarle-Nassau NB,4.642857142857143,4.686633952175984,4.559965483752352,3.282262529645647,0.3607594966888428,16,3.400696039199829,0.3277592062950134
Bakel NB,4.830188679245283,4.63224015669311,4.496607686189964,3.391326328493514,0.33656957745552063,25,3.388314723968506,0.3242320716381073
