lang,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Brouwershaven Ze,4.3636475,4.4675,4.0484495,3.1747913,1.9944707,1.5391127,1.7386279,1.9263763,2.6778889,0.019923186
Brummen Gl,4.3017507,4.3140497,4.2493787,3.5187323,2.0258644,1.9311913,1.7967027,0.98266613,0.05255379
Brunssum Lb,4.4910793,4.1667147,4.8424582,2.9313016,2.3416317,1.9173135,1.5946282,0.3033462,0.009099053
Budel NB,4.3804765,3.9883916,4.387288,2.783434,1.9930574,1.8804011,1.7459788,0.022423921
Buurmalsen Gl,4.31544,4.217754,4.4112372,2.8431075,2.2273026,1.9835724,2.231892,1.3337296,1.2475004,0.022770269
Callantsoog NH,4.1321783,4.21447,3.8802073,2.86698,2.1799817,2.2906456,1.3303632,1.8686392,0.2405486
Coevorden Dr,3.8816023,4.2723207,4.3306723,3.4825604,1.7719858,1.3771083,0.7380893,0.06901537
Culemborg Gl,4.036993,4.5301957,4.159988,3.0093355,2.1247287,1.714135,1.6824616,3.8872342,0.39738315
Dalfsen Ov,4.2962503,4.2394843,4.454398,3.74507,2.1333225,2.261116,1.280202,0.14179154
De Lier ZH,3.895451,4.160146,3.8073475,2.6603684,1.880192,1.8704414,1.460012,1.5636579,4.0119395,0.0792748
De Lutte Ov,4.0702434,4.2211137,3.8398018,3.705593,1.658934,2.144771,0.67981774,1.4545512
De Rijp NH,4.300746,4.4074016,3.6492832,2.7807775,2.5897348,2.2187731,1.0733219,0.4460953,0.21994676
Dedemsvaart Ov,4.315393,4.5157657,4.6022067,3.3310924,1.6864593,1.3301293,1.0728315,0.050541937
Deil Gl,4.372812,4.4344754,4.024972,2.8976443,2.5530148,2.3262105,1.5640985,2.4197602,0.6057182
Delden Ov,4.1962104,4.743244,4.387177,3.5270236,2.006869,1.5947597,0.9343595,0.05975969
Delft ZH hoog,3.931654,4.2146273,4.060831,2.5736747,2.183416,1.7369062,1.5762377,2.0734425,4.9402575,0.03740208
Delft ZH laag,4.2374196,4.582473,4.1002684,2.994272,2.4646893,1.8310016,2.0076995,1.4084803,4.5956492,0.06923744
Den Dungen NB,4.2680044,4.3309865,4.188558,3.332361,1.7461313,2.8649716,1.266498,3.1444314,0.39442173
Den Ham Ov,4.247912,4.412869,4.919239,3.4262972,2.6397042,1.4357743,1.2731992,0.22631498
Den Hoorn NH,4.1895366,4.383871,4.1204343,2.778352,2.3630717,1.7192934,2.0259628,2.2768764,0.05937866
Den Oever NH,4.194934,4.330725,4.5227675,2.7439742,2.0014346,1.7058153,0.8165409,1.5165123,0.08264041
Deurne NB,4.3746166,3.924631,4.1587396,3.3915336,2.640735,1.6861049,1.5175996,2.3253222,0.08139399
Deventer Ov,4.2685795,4.2208824,4.256623,3.4456453,2.1827574,1.6119757,0.6518028,1.0142066,0.01672465
Didam Gl,4.1056557,4.4786873,4.456485,3.1392941,1.5851208,2.42329,1.0814854,4.0636363,0.02308644
Diemen NH,4.1177983,4.2628393,3.6851065,2.7163696,1.7625577,1.5020486,1.1394311,0.934059,1.7838829,0.036859777
Diepenveen Ov,4.2940817,4.0375767,4.2023487,3.602034,2.077743,1.7884274,1.6806864,1.2160227,0.51870906
Dieren Gl,4.2720027,4.22629,4.185919,2.5192416,2.1657598,1.3515289,0.8283861,0.29417664
Dodewaard Gl,4.2178435,4.2610116,3.8823352,2.9873097,2.3440828,1.7057228,1.5304383,0.436996,0.1007544
Doesburg Gl,4.3989964,4.730063,4.520248,3.451008,2.5573747,1.3712981,0.97308767,0.5535715,0.39116475,0.007665162
Doetinchem Gl,4.324635,4.383,4.3168826,2.982485,1.7762314,1.4556571,0.49921462,0.13293982,0.030449424
Dongen NB,4.271468,4.425041,4.4987407,2.755209,2.1884508,1.667296,1.8766567,0.6177127,0.20173775
Doornspijk Gl,4.4834023,3.970741,3.8597476,3.0716643,1.7773447,1.218995,2.0103931,1.1317871,0.028494429
Driebruggen ZH,3.9188116,4.245145,3.3242996,2.7340353,1.9605681,1.1767058,1.0380414,0.8538261,4.577477,0.021351434
Druten Gl,4.304343,4.3314247,4.1144266,3.2207863,1.6073811,2.6317701,0.9873494,1.8921753,0.29240963
Dwingeloo Dr,4.0236735,4.0719705,4.380706,3.7920935,1.850853,1.384553,1.295461,2.6528816,1.0302815
Echt Lb,4.5389166,4.2196355,4.946516,3.0129983,2.4365327,1.7387458,2.1851742,0.78233135,5.434399,1.2434477
Edam NH,3.9897196,3.928599,3.3861985,2.700831,2.1503172,1.6933581,1.5474987,1.214063,2.2963183,0.043071017
Ede Gl,4.303308,4.381949,4.368311,3.0184069,1.8256595,1.5833473,2.1519141,0.6491684,0.23181678
Eede Ze,3.9909427,3.7579482,4.22796,3.104627,1.9099798,2.138372,1.4334912,1.0335606,0.2261103
Eelde Dr,3.99041,3.8676512,4.5841627,3.2802646,1.850562,0.7846629,1.1327634,0.09527049
Eenrum Gn,4.2170434,4.2033443,4.313112,3.189449,1.9251363,0.9409689,1.2271967,0.14633396
Eexterveen Dr,4.019043,3.8005054,4.09854,3.7719471,1.7678535,0.9892364,0.46855962,0.081635654
Egmond aan Zee NH,4.368091,3.9733777,3.7638812,2.6365693,2.1488647,1.5721992,0.92994714,1.9953371,0.16937868
