lang	avg_len	lstm
Hei- en Boeicop ZH	5.0181818181818185	4.107879083806818
Heinkenszand Ze	5.12280701754386	4.116759718510142
Heino Ov	4.385964912280702	4.517570629454496
Hellendoorn Ov	4.208333333333333	4.976853052775065
Hellevoetsluis ZH	5.125	3.9417087009974887
Helmond NB	4.767857142857143	4.2321608407156805
Hengelo Gl	4.947368421052632	4.34876853541324
Herkingen ZH	4.964912280701754	3.89944350928591
Heteren Gl	5.0	4.217774824662642
Hierden Gl	4.859649122807017	4.222559343304551
Hilvarenbeek NB	4.631578947368421	4.034928171258224
Hoedekenskerke Ze	4.912280701754386	4.189383523506031
Hoenderloo Gl	5.053571428571429	4.073819296700614
Hollandsche Veld Dr	4.785714285714286	4.025818416050503
Hooghalen Dr	4.508771929824562	4.056378280907347
Hoonhorst Ov	4.56140350877193	4.484142102693257
Hoorn NH	4.912280701754386	4.1022266588713
Horn Lb	4.649122807017544	4.334794161612527
Houten Ut	5.214285714285714	4.117446081978934
Huijbergen NB	4.982142857142857	4.053235735212054
Huizen NH	5.4035087719298245	3.9546888920298793
Hunsel Lb	4.666666666666667	4.236571194832785
IJmuiden NH	4.982456140350878	4.2417142098410086
IJsselmuiden Ov	4.824561403508772	4.286307351631031
IJzendijke Ze	4.830188679245283	4.419118917213296
Ingen Gl	4.946428571428571	4.316339492797852
Jutphaas Ut	4.87719298245614	4.065317522015488
Kamerik Ut	5.017543859649122	3.897311026589912
Kampen Ov	4.517857142857143	4.41046633039202
Kantens Gn	4.428571428571429	4.204860142299107
Katwijk aan Zee ZH	4.90566037735849	3.8857764477999694
Kedichem ZH	5.160714285714286	4.084835052490234
Kerkrade Lb	4.795918367346939	4.285412846779336
Kessel NB	4.842105263157895	4.303214089912281
Klaaswaal ZH	5.035087719298246	3.986272979200932
Kloosterzande Ze	5.017857142857143	3.95555659702846
Koedijk NH	4.982456140350878	4.201579846833882
Koekange Dr	4.553571428571429	4.076659066336496
Koewacht Ze	4.821428571428571	3.994248526436942
Kortgene Ze	5.0701754385964914	4.069753546463816
Koudekerk aan den Rijn ZH	5.175438596491228	3.794617770010965
Kruiningen Ze	4.7368421052631575	4.225550601356908
Kuinre Ov	4.381818181818182	4.3650290749289775
Lage Zwaluwe NB	4.824561403508772	3.979822526898301
Laren Gl	4.526315789473684	4.397208765933388
Laren NH	4.872727272727273	4.148937433416193
Leende NB	4.642857142857143	4.264301572527204
Leermens Gn	5.0	4.111118785121985
Lekkerkerk ZH	4.678571428571429	4.074474334716797
Lemele Ov	4.555555555555555	4.525479069462529
Lent Gl	4.660714285714286	4.245247159685407
Lichtenvoorde Gl	4.963636363636364	4.372204867276278
Lochem Gl	4.625	4.369035993303571
Loenen Gl	4.607142857142857	4.487334115164621
Loenen Ut	4.928571428571429	4.207171848842076
Loon op Zand NB	4.803571428571429	4.154843466622489
Maasbree Lb	4.648148148148148	4.293885125054254
Maastricht Lb	4.527272727272727	4.356611494584517
Marken NH	5.053571428571429	3.877056666782924
Marum Gn	4.701754385964913	4.157886170504386
Meerssen Lb	4.611111111111111	4.228526362666377
Meije ZH	4.945454545454545	4.165190540660511
Meijel Lb	4.614035087719298	4.343362105520148
Meppel Dr	4.732142857142857	4.17957878112793
Middelburg Ze	4.928571428571429	4.131950923374721
Middelharnis ZH	5.388888888888889	4.019905938042535
Middelie NH	4.928571428571429	4.064454214913504
Midwolda Gn	4.472727272727273	4.395148814808239
Monnickendam NH	5.052631578947368	3.8244880542420505
Mussel Gn	4.454545454545454	4.329906116832387
Nederweert Lb	4.678571428571429	4.232818331037249
Neede Gl	4.614035087719298	4.458109537760417
Nieuw-Schoonebeek Dr	4.732142857142857	3.9718916756766185
Nijmegen Gl	4.631578947368421	4.232224581534402
Nijverdal Ov	4.391304347826087	4.599517490552819
Nistelrode NB	4.771929824561403	4.1439465974506575
Noordeloos ZH	4.910714285714286	4.200554983956473
Norg Dr	4.701754385964913	4.076038025973136
Nunspeet Gl	4.672727272727273	4.254770174893466
Oerle NB	4.678571428571429	4.458243778773716
Oijen NB	4.875	4.272945949009487
Oirschot NB	4.722222222222222	4.275446008752893
Oisterwijk NB	4.631578947368421	4.379609760485198
Oldemarkt Ov	4.589285714285714	4.430655888148716
Oldenzaal Ov	4.857142857142857	4.343487875802176
Onstwedde Gn	4.4363636363636365	4.243728082830256
Ooltgensplaat ZH	4.818181818181818	4.2247478138316765
Oosterbeek Gl	5.181818181818182	4.049389925870028
Oosterland Ze	5.385964912280702	4.002338877895422
Ootmarsum Ov	4.410714285714286	4.315808704921177
Opperdoes NH	4.842105263157895	4.148353978207237
Ospel Lb	4.87719298245614	4.273343270285087
Ossendrecht NB	4.596491228070176	4.2408701578776045
Otterlo Gl	5.280701754385965	3.958383660567434
Ottersum Lb	4.672727272727273	4.262080799449574
Oud-Charlois ZH	5.052631578947368	4.035178736636513
Ouddorp ZH	5.230769230769231	4.0209221473106975
Oude Pekela Gn	4.826923076923077	4.202207712026743
Oude-Tonge ZH prot	4.875	4.208151681082589
Oude-Tonge ZH rk	5.107142857142857	3.975128173828125
Oudewater Ut	4.982456140350878	4.113531279982182
Oud-Vossemeer Ze	5.350877192982456	3.9052303381133497
Panningen Lb	4.482142857142857	4.291599818638393
Papendrecht ZH	4.660714285714286	4.1028257097516745
Piershil ZH	5.428571428571429	3.842364719935826
Poederoijen Gl	4.982142857142857	4.345639365059989
Posterholt Lb	4.571428571428571	4.302770342145648
Putten Gl	5.232142857142857	3.9125682285853793
Puttershoek ZH	5.4	3.834806130149148
Raalte Ov	4.482142857142857	4.526886258806501
Reek NB	4.947368421052632	4.199707298948054
Renkum Gl	4.945454545454545	4.2523357044566765
Reusel NB	4.666666666666667	4.233049359237938
Reuver Lb	4.578947368421052	4.405511153371711
Rhenen Ut	4.836363636363636	4.096277410333807
Rijkevoort NB	4.7368421052631575	4.305573045161733
Rijsbergen NB	4.7368421052631575	4.082319828501919
Rijssen Ov	4.777777777777778	4.483619972511574
Rilland Ze	5.178571428571429	4.072387150355747
Roderwolde Dr	4.56140350877193	4.108323214346902
Roermond Lb	4.75925925925926	4.210792824074074
Roggel Lb	4.649122807017544	4.467489677563048
Roodeschool Gn	4.701754385964913	4.219937240868284
Roosendaal NB	4.947368421052632	3.9988124914336622
Rossum Ov	4.12962962962963	4.439878393102576
Roswinkel Dr	4.660714285714286	4.082434245518276
Rotterdam ZH	4.771929824561403	4.059768409059759
Rouveen Ov	4.660714285714286	4.3369742802211215
Rozendaal Gl	4.636363636363637	4.147944224964489
Ruinen Dr	4.947368421052632	4.367714329769737
Ruurlo Gl	4.491228070175438	4.477659526624177
Schagen NH	4.892857142857143	4.186430249895368
Scheemda Gn	4.87719298245614	4.084648801569353
Schelluinen ZH	5.089285714285714	4.251413890293667
Scheveningen ZH	5.178571428571429	3.740860802786691
Schinnen Lb	4.62962962962963	4.27742173936632
Schoonebeek Dr	4.553571428571429	4.268003736223493
Schoonoord Dr	4.596491228070176	4.09397192168654
Sellingen Gn	4.472727272727273	4.379537686434659
Serooskerke Ze	5.017543859649122	4.036608244243421
Sevenum Lb	4.727272727272728	4.232317560369318
s-Heerenberg Gl	4.642857142857143	4.273845127650669
s-Heerenbroek Ov	5.178571428571429	3.941309247698103
s-Hertogenbosch NB	4.666666666666667	4.338470726682429
Silvolde Gl	4.7368421052631575	4.36606156198602
Sint Jansteen Ze	4.771929824561403	4.334828426963405
Sint Maartensdijk Ze	4.964912280701754	3.999791195518092
Sint-Annen Gn	4.462962962962963	4.275676586009838
Sint-Oedenrode NB	4.789473684210527	4.22257513748972
Sittard Lb	4.472727272727273	4.263189142400568
Slagharen Ov	4.535714285714286	4.3146820068359375
Sliedrecht ZH	4.859649122807017	4.097721300627056
Slochteren Gn	4.571428571428571	4.198511941092355
Smilde Dr	4.625	4.219216210501535
Someren NB	4.714285714285714	4.21475955418178
Spakenburg Ut	4.9818181818181815	3.965364213423296
Spanbroek NH	4.964285714285714	4.030663626534598
Stadskanaal Gn	4.490909090909091	3.9413848876953126
Steenbergen NB	4.982456140350878	4.192080313699288
Steenderen Gl	5.140350877192983	4.206799423485472
Steenwijk Ov	4.508771929824562	4.3387804533305925
Stokkum Ov	4.642857142857143	4.467129843575614
Stolwijk ZH	5.142857142857143	3.898849214826311
Stompwijk ZH	5.035714285714286	3.833920070103237
Susteren Lb	4.654545454545454	4.317111483487216
Tegelen Lb	4.607142857142857	4.255949020385742
Ter Apel Gn	4.607142857142857	3.974824360438756
Teuge Gl	4.714285714285714	4.2682647705078125
Tiel Gl	4.727272727272728	4.118130493164062
Tienray Lb	4.7368421052631575	4.262643379077577
Tilburg NB	4.684210526315789	4.286231057685718
Tilligte Ov	4.188679245283019	4.324227387050413
Tubbergen Ov	4.254545454545455	4.516105235706676
Ulft Gl	5.228070175438597	4.066943252295778
Urk Fl	5.214285714285714	3.964968545096261
Ursem NH	4.892857142857143	4.038394110543387
Usselo Ov	4.109090909090909	4.486156671697443
Utrecht Ut	4.982456140350878	4.197645756236294
Vaals Lb	4.659574468085107	4.273939092108544
Vaassen Gl	4.945454545454545	4.21546630859375
Valthermond Dr	4.767857142857143	4.062668936593192
Varsseveld Gl	4.732142857142857	4.292878287179129
Veendam Gn	4.535714285714286	4.175001961844308
Veenendaal Ut	5.053571428571429	4.088557652064732
Veghel NB	4.625	4.242578778948102
Velddriel Gl	4.888888888888889	4.21365808557581
Venlo Lb	4.719298245614035	4.33752013089364
Vessem NB	4.696428571428571	4.277972630092076
Vlissingen Ze	4.857142857142857	4.214031219482422
Voerendaal Lb	4.648148148148148	4.212758947301794
Volendam NH	5.017543859649122	3.782693963301809
Vollenhove Ov	4.9298245614035086	4.286357143469024
Voorst Gl	4.807017543859649	4.346300894753975
Voorthuizen Gl	5.125	4.154029846191406
Vorden Gl	4.962962962962963	4.257029498064959
Vreeswijk Ut	5.315789473684211	4.011769612630208
Vriezenveen Ov	4.696428571428571	4.438425609043667
Waardenburg Gl	4.631578947368421	4.298858107182017
Wagenborgen Gn	4.777777777777778	4.171811139142072
Wanssum Lb	4.963636363636364	4.265980945933949
Wapse Dr	4.771929824561403	4.089273553145559
Wateringen ZH	4.962962962962963	3.970014784071181
Werkhoven Ut	5.350877192982456	3.982672975774397
